Date,Open,High,Low,Close,Adj Close,Volume,compound,neg,neu,pos
2014/1/2,398.799988,399.359985,394.019989,397.97000099999997,397.97000099999997,2137800,0.3182,0.048,0.859,0.093
2014/1/3,398.290009,402.709991,396.22000099999997,396.440002,396.440002,2210200,0.9578,0.0,0.597,0.403
2014/1/6,395.850006,397.0,388.420013,393.630005,393.630005,3170600,-0.3818,0.095,0.801,0.104
2014/1/7,395.040009,398.47000099999997,394.290009,398.02999900000003,398.02999900000003,1916000,0.802,0.0,0.805,0.195
2014/1/8,398.47000099999997,403.0,396.040009,401.920013,401.920013,2316500,-0.2023,0.118,0.789,0.093
2014/1/9,403.709991,406.890015,398.440002,401.01001,401.01001,2103000,0.12,0.054,0.87,0.076
2014/1/10,402.52999900000003,403.76001,393.799988,397.660004,397.660004,2679500,-0.7269,0.131,0.827,0.042
2014/1/13,397.980011,399.77999900000003,388.450012,390.980011,390.980011,2844900,-0.3612,0.082,0.855,0.063
2014/1/14,392.130005,398.630005,391.290009,397.540009,397.540009,2340100,0.7314,0.025,0.812,0.164
2014/1/15,398.940002,399.309998,392.52999900000003,395.869995,395.869995,2678300,0.6808,0.0,0.905,0.095
2014/1/16,393.679993,399.290009,389.410004,395.799988,395.799988,2601200,-0.5859,0.095,0.847,0.058
2014/1/17,394.26001,403.48999,393.660004,399.609985,399.609985,4505100,0,0,0,0
2014/1/21,403.0,407.799988,401.600006,407.049988,407.049988,3122100,-0.9253,0.165,0.789,0.046
2014/1/22,408.0,408.059998,402.0,404.540009,404.540009,2060500,0.5302,0.041,0.88,0.079
2014/1/23,401.0,406.170013,397.790009,399.869995,399.869995,3025400,0.7205,0.034,0.882,0.084
2014/1/24,398.160004,400.200012,387.269989,387.600006,387.600006,4458400,0.9408,0.026,0.845,0.129
2014/1/27,390.5,394.100006,380.48999,386.27999900000003,386.27999900000003,3936800,0.8008,0.0,0.887,0.113
2014/1/28,387.399994,394.73999,387.119995,394.429993,394.429993,2894500,0.8537,0.091,0.692,0.217
2014/1/29,392.160004,392.850006,383.23999,384.200012,384.200012,3382300,0.7096,0.0,0.771,0.229
2014/1/30,393.769989,406.25,387.700012,403.01001,403.01001,10473900,0.9391,0.064,0.832,0.104
2014/1/31,371.76001,375.450012,357.76001,358.690002,358.690002,16154800,-0.6339,0.111,0.797,0.091
2014/2/3,358.980011,360.850006,340.100006,346.149994,346.149994,10280800,0.9915,0.013,0.735,0.253
2014/2/4,349.589996,354.0,344.019989,347.950012,347.950012,4812900,-0.0772,0.066,0.87,0.063
2014/2/5,346.0,349.369995,337.730011,346.450012,346.450012,4435400,-0.6486,0.202,0.798,0.0
2014/2/6,347.399994,354.820007,347.399994,354.589996,354.589996,3335700,0.5059,0.081,0.794,0.125
2014/2/7,358.980011,361.799988,352.48999,361.079987,361.079987,4330500,0.8442,0.0,0.822,0.178
2014/2/10,361.609985,365.0,359.350006,360.869995,360.869995,3449700,0.8442,0.0,0.955,0.045
2014/2/11,361.839996,363.609985,356.25,361.790009,361.790009,3222100,-0.4268,0.02,0.969,0.011
2014/2/12,356.429993,357.75,346.320007,349.25,349.25,6587700,0.598,0.042,0.877,0.082
2014/2/13,347.700012,357.200012,346.5,357.200012,357.200012,4175000,0.9231,0.0,0.856,0.144
2014/2/14,359.339996,359.339996,353.350006,357.350006,357.350006,3520200,0.8689,0.062,0.812,0.126
2014/2/18,355.27999900000003,355.730011,349.450012,353.649994,353.649994,4998000,0.0,0.0,1.0,0.0
2014/2/19,352.640015,354.540009,346.100006,347.380005,347.380005,4168100,0.5719,0.0,0.917,0.083
2014/2/20,348.799988,350.459991,344.380005,349.799988,349.799988,3492800,0.0,0.0,1.0,0.0
2014/2/21,352.440002,354.140015,346.75,346.76001,346.76001,4210000,0.9274,0.0,0.817,0.183
2014/2/24,345.190002,353.0,343.290009,351.77999900000003,351.77999900000003,3644700,0.0,0.0,1.0,0.0
2014/2/25,353.0,361.079987,351.579987,358.320007,358.320007,3736400,-0.9081,0.108,0.892,0.0
2014/2/26,359.859985,364.75,357.170013,359.799988,359.799988,3622100,-0.8934,0.096,0.893,0.011
2014/2/27,357.22000099999997,360.589996,355.5,360.130005,360.130005,3104900,0.0,0.0,1.0,0.0
2014/2/28,360.600006,365.869995,357.079987,362.100006,362.100006,3882000,0.8591,0.017,0.893,0.09
2014/3/3,358.73999,360.959991,354.480011,359.77999900000003,359.77999900000003,2798300,0.8126,0.059,0.674,0.267
2014/3/4,363.899994,365.679993,362.459991,363.899994,363.899994,2704400,0.8126,0.029,0.855,0.115
2014/3/5,364.130005,372.730011,363.899994,372.369995,372.369995,3848300,0.7579,0.0,0.783,0.217
2014/3/6,374.049988,375.329987,368.899994,372.160004,372.160004,2926600,0.4804,0.029,0.885,0.086
2014/3/7,374.579987,374.98999,369.52999900000003,372.059998,372.059998,2279800,-0.3182,0.058,0.907,0.034
2014/3/10,372.690002,372.730011,367.0,370.52999900000003,370.52999900000003,2105800,0.7269,0.062,0.789,0.149
2014/3/11,370.98999,372.799988,367.27999900000003,368.820007,368.820007,2246100,0.7786,0.03,0.866,0.104
2014/3/12,366.399994,371.160004,363.609985,370.640015,370.640015,2216600,0.7717,0.0,0.922,0.078
2014/3/13,376.619995,383.109985,368.079987,371.51001,371.51001,6829000,0.9905,0.043,0.822,0.135
2014/3/14,372.799988,378.570007,371.549988,373.73999,373.73999,4402200,0.0325,0.02,0.963,0.017
2014/3/17,375.72000099999997,378.850006,374.880005,375.040009,375.040009,2303000,0.9287,0.03,0.762,0.209
2014/3/18,377.320007,379.0,375.0,378.769989,378.769989,2483500,0.8957,0.041,0.818,0.142
2014/3/19,378.769989,379.0,369.420013,373.230011,373.230011,2646700,-0.0258,0.059,0.866,0.076
2014/3/20,370.640015,373.0,366.22000099999997,368.97000099999997,368.97000099999997,2558500,0.9354,0.028,0.801,0.171
2014/3/21,371.0,372.839996,358.399994,360.619995,360.619995,5414100,0.0,0.0,1.0,0.0
2014/3/24,360.089996,361.5,348.600006,351.850006,351.850006,4873500,0.8957,0.0,0.876,0.124
2014/3/25,354.02999900000003,358.97000099999997,348.839996,354.709991,354.709991,4445700,0.6124,0.051,0.848,0.1
2014/3/26,357.130005,357.600006,343.399994,343.410004,343.410004,4120700,0.7096,0.0,0.815,0.185
2014/3/27,343.149994,344.0,330.880005,338.47000099999997,338.47000099999997,5766400,0.975,0.046,0.75,0.204
2014/3/28,340.049988,347.0,336.079987,338.290009,338.290009,3986800,0.9191,0.039,0.79,0.171
2014/3/31,342.399994,346.290009,334.059998,336.369995,336.369995,4297500,0.9546,0.024,0.849,0.127
2014/4/1,338.089996,344.429993,338.0,342.98999,342.98999,3600100,-0.9629,0.139,0.833,0.028
2014/4/2,345.98999,348.299988,340.380005,341.959991,341.959991,4475500,0.564,0.107,0.76,0.134
2014/4/3,341.820007,342.5,328.459991,333.619995,333.619995,6399300,0.872,0.07,0.792,0.138
2014/4/4,335.149994,335.440002,315.609985,323.0,323.0,12534600,0.9657,0.006,0.886,0.108
2014/4/7,320.98999,324.940002,313.130005,317.76001,317.76001,7077400,0.7783,0.042,0.869,0.089
2014/4/8,321.880005,328.0,318.440002,327.070007,327.070007,6577600,0.3818,0.101,0.794,0.105
2014/4/9,328.47000099999997,332.179993,322.5,331.809998,331.809998,5056600,0.8271,0.025,0.895,0.08
2014/4/10,330.600006,331.0,316.5,317.109985,317.109985,6126700,0.8957,0.0,0.869,0.131
2014/4/11,314.0,316.5,309.5,311.730011,311.730011,7287500,0.9246,0.016,0.883,0.101
2014/4/14,317.670013,320.480011,311.27999900000003,315.910004,315.910004,4293500,0.9217,0.052,0.827,0.121
2014/4/15,316.700012,318.27999900000003,305.5,316.079987,316.079987,5398600,0.0772,0.074,0.834,0.092
2014/4/16,321.170013,324.0,314.709991,323.679993,323.679993,4284900,0.4062,0.052,0.883,0.065
2014/4/17,319.76001,328.660004,319.76001,324.910004,324.910004,4299200,0.956,0.009,0.892,0.099
2014/4/21,323.97000099999997,331.149994,322.309998,330.869995,330.869995,2999400,0.8519,0.0,0.892,0.108
2014/4/22,332.0,337.5,328.940002,329.320007,329.320007,3711600,0.296,0.047,0.901,0.052
2014/4/23,333.059998,333.130005,323.390015,324.579987,324.579987,3604600,0.9694,0.019,0.865,0.116
