Date,Open,High,Low,Close,Adj Close,Volume,compound,neg,neu,pos
2014/1/2,64.610001,64.639999,63.439999,63.580002,55.403057,2282100,-0.5574,0.167,0.833,0.0
2014/1/3,63.580002,63.869999,63.139998999999996,63.509997999999996,55.342052,1739100,-0.8481,0.159,0.841,0.0
2014/1/6,63.639998999999996,63.810001,63.25,63.52,55.350765,1889000,-0.7992,0.323,0.577,0.101
2014/1/7,63.810001,64.739998,63.700001,64.690002,56.370312,2196600,0.0,0.0,1.0,0.0
2014/1/8,64.529999,65.129997,64.279999,64.760002,56.431293000000004,2935500,0.0,0.0,1.0,0.0
2014/1/9,65.5,66.440002,65.160004,66.32,57.790665000000004,2961600,-0.9705,0.128,0.872,0.0
2014/1/10,66.769997,67.82,66.639999,67.779999,59.062893,3385000,0.0,0.0,1.0,0.0
2014/1/13,67.769997,68.470001,67.010002,67.16999799999999,58.53135699999999,2852000,-0.9485,0.138,0.862,0.0
2014/1/14,67.199997,67.43,66.82,67.110001,58.479065000000006,1750500,-0.891,0.12,0.88,0.0
2014/1/15,67.099998,67.160004,66.559998,66.629997,58.060802,1613700,0.0,0.0,1.0,0.0
2014/1/16,66.239998,66.550003,65.849998,66.480003,57.930099,1779500,-0.2732,0.084,0.858,0.058
2014/1/17,66.32,66.550003,66.050003,66.290001,57.764526000000004,1947600,0,0,0,0
2014/1/21,66.489998,66.940002,66.379997,66.879997,58.278641,2775200,-0.7906,0.14,0.86,0.0
2014/1/22,66.879997,67.239998,66.790001,67.120003,58.487784999999995,2148200,-0.9371,0.137,0.863,0.0
2014/1/23,66.720001,67.0,66.07,66.400002,57.860374,2643500,-0.5574,0.101,0.899,0.0
2014/1/24,66.089996,66.82,65.860001,65.93,57.450825,2383200,-0.8807,0.076,0.924,0.0
2014/1/27,65.959999,66.75,65.849998,66.41999799999999,57.877811,2171700,-0.5267,0.074,0.902,0.025
2014/1/28,66.41999799999999,66.639999,66.059998,66.260002,57.738392000000005,2380500,0.1531,0.088,0.809,0.103
2014/1/29,66.08000200000001,66.459999,65.870003,66.279999,57.75581,2646200,-0.8555,0.156,0.844,0.0
2014/1/30,66.449997,67.16999799999999,66.33000200000001,67.050003,58.426784999999995,2184200,-0.296,0.058,0.942,0.0
2014/1/31,65.620003,68.449997,65.08000200000001,67.910004,59.176186,4436900,-0.7003,0.083,0.917,0.0
2014/2/3,67.839996,68.860001,66.91999799999999,67.120003,58.487784999999995,3096300,-0.7351,0.114,0.886,0.0
2014/2/4,67.129997,67.349998,65.760002,65.849998,57.381111,3507300,-0.8555,0.099,0.866,0.036
2014/2/5,65.599998,65.849998,65.059998,65.699997,57.250401000000004,2684100,0,0,0,0
2014/2/6,65.650002,66.099998,65.110001,65.93,57.450825,1735000,-0.7003,0.082,0.89,0.027
2014/2/7,66.08000200000001,66.980003,65.949997,66.93,58.322212,2138000,0.0,0.0,1.0,0.0
2014/2/10,67.269997,68.57,66.93,68.489998,59.681587,3972400,-0.9584,0.115,0.885,0.0
2014/2/11,68.690002,69.589996,68.360001,69.139999,60.24799300000001,3114000,-0.9501,0.161,0.82,0.019
2014/2/12,69.0,69.519997,68.760002,69.360001,60.439701,1846600,-0.5574,0.118,0.882,0.0
2014/2/13,69.059998,70.75,69.0,70.690002,61.598652,2736000,-0.5574,0.089,0.911,0.0
2014/2/14,70.489998,71.16999799999999,70.099998,71.110001,61.964642000000005,2225000,-0.5574,0.07,0.93,0.0
2014/2/18,71.150002,71.309998,70.68,70.860001,61.746777,2094900,-0.8957,0.167,0.833,0.0
2014/2/19,70.82,71.730003,70.470001,70.639999,61.555083999999994,2125000,0.0,0.0,1.0,0.0
2014/2/20,70.730003,71.730003,70.610001,71.5,62.304466000000005,2032000,0,0,0,0
2014/2/21,71.599998,72.07,71.32,71.389999,62.208611,1549200,0.0,0.0,1.0,0.0
2014/2/24,71.400002,72.220001,71.269997,71.290001,62.121475,1514400,-0.9186,0.144,0.856,0.0
2014/2/25,71.389999,71.959999,71.110001,71.260002,62.095348,1893800,0.0,0.0,1.0,0.0
2014/2/26,70.949997,71.019997,69.599998,69.760002,61.304435999999995,2633900,-0.9764,0.148,0.852,0.0
2014/2/27,69.760002,70.129997,69.25,69.58000200000001,61.146255000000004,1652600,-0.802,0.1,0.9,0.0
2014/2/28,69.470001,69.809998,69.089996,69.400002,60.988071,4112500,0.0,0.0,1.0,0.0
2014/3/3,68.970001,69.449997,68.389999,68.589996,60.276249,2861700,-0.4767,0.099,0.855,0.046
2014/3/4,69.300003,69.519997,68.860001,69.290001,60.891388,2891000,0.0,0.0,1.0,0.0
2014/3/5,69.260002,69.300003,68.349998,68.519997,60.214725,2721300,0.0,0.0,1.0,0.0
2014/3/6,68.75,68.900002,67.790001,67.970001,59.731396,2294500,-0.296,0.145,0.855,0.0
2014/3/7,67.889999,68.510002,67.589996,68.440002,60.144431999999995,3006800,0.5106,0.0,0.858,0.142
2014/3/10,68.309998,68.660004,67.970001,68.349998,60.065338,2016900,-0.802,0.146,0.854,0.0
2014/3/11,68.43,68.43,67.75,68.050003,59.801697,2223000,0.872,0.032,0.794,0.175
2014/3/12,68.010002,69.010002,67.849998,68.980003,60.618965,2711200,0.6124,0.0,0.84,0.16
2014/3/13,69.040001,69.68,68.860001,69.5,61.075939,3369800,-0.9371,0.146,0.854,0.0
2014/3/14,69.41999799999999,70.089996,69.129997,69.889999,61.418670999999996,4787500,-0.8957,0.107,0.893,0.0
2014/3/17,70.230003,70.650002,69.68,70.599998,62.042606000000006,3800700,0,0,0,0
2014/3/18,70.599998,70.870003,70.209999,70.5,61.954719999999995,2411100,-0.9584,0.149,0.851,0.0
