Date,Open,High,Low,Close,Adj Close,Volume,compound,neg,neu,pos
2014/1/2,52.029999,52.400002,51.810001,52.27,51.07716,16479700,0.5719,0.0,0.866,0.134
2014/1/3,52.389998999999996,53.470001,52.310001,53.400002,52.181381,26884900,0.6997,0.0,0.915,0.085
2014/1/6,53.619999,54.290001000000004,53.43,53.810001,52.58201999999999,28503100,0.0,0.0,1.0,0.0
2014/1/7,54.59,54.720001,53.779999,54.18,52.94358100000001,28840400,0.7841,0.022,0.875,0.103
2014/1/8,54.290001000000004,55.0,54.200001,54.810001,53.55919599999999,25989800,0.8779,0.033,0.824,0.143
2014/1/9,55.0,55.279999,54.759997999999996,55.200001,53.940304000000005,21803700,-0.6908,0.113,0.851,0.036
2014/1/10,55.029999,55.09,54.299999,54.720001,53.471256000000004,22485900,0.7615,0.0,0.912,0.088
2014/1/13,54.459998999999996,54.66,53.439999,53.720001,52.494076,21110300,0.8658,0.0,0.792,0.208
2014/1/14,54.130001,54.400002,53.630001,53.950001,52.718830000000004,17771000,-0.7501,0.142,0.837,0.021
2014/1/15,54.52,55.169998,54.360001000000004,54.990002000000004,53.735096,33688100,0.0,0.0,1.0,0.0
2014/1/16,53.560001,53.560001,52.349998,52.599998,51.399632000000004,62946800,0.6077,0.04,0.898,0.062
2014/1/17,52.650002,52.919998,52.130001,52.27,51.07716,33934500,0,0,0,0
2014/1/21,52.5,53.0,51.560001,51.849998,50.666748,27567400,0.2023,0.139,0.728,0.133
2014/1/22,52.009997999999996,52.130001,51.509997999999996,51.900002,50.715614,20841100,0.5267,0.054,0.809,0.137
2014/1/23,51.650002,51.650002,50.549999,50.720001,49.562538,34832200,0.296,0.038,0.903,0.06
2014/1/24,50.049999,50.169998,49.080002,49.330002,48.204254,59057100,-0.128,0.035,0.965,0.0
2014/1/27,49.099998,49.66,48.360001000000004,48.810001,47.696125,39675300,0.0,0.0,1.0,0.0
2014/1/28,49.290001000000004,49.860001000000004,49.290001000000004,49.599998,48.468094,24780900,0.4019,0.0,0.863,0.137
2014/1/29,48.919998,49.360001000000004,47.700001,48.080002,46.982788,54018100,0.4939,0.0,0.882,0.118
2014/1/30,48.459998999999996,48.700001,47.779999,48.299999,47.207577,39940700,0.6428,0.081,0.776,0.143
2014/1/31,47.509997999999996,48.200001,47.290001000000004,47.43,46.357262,33425100,0.0,0.0,1.0,0.0
2014/2/3,47.84,47.860001000000004,46.189999,46.34,45.291911999999996,42977600,0.0772,0.0,0.902,0.098
